clean_for_labeling,sentiment
keren dan mantap deh pokoknya nih game,positive
game tidak masuk logika giliran dikasi item² card bagus malah dikasi musuh keras keras mana damage nya tidak masuk akal lagiapalagi damage dimid game tidak logis yang di early padahal jumlah hero hpnya kurang lebih sama game tidak jelasmasih enak magic chess yang lama dan tidak monoton seperti sekarang,negative
jangan dowload game online paling parahklo topup hero gold pun bisa menang lawan hero gold,negative
habis hapus data terus login lagi malah nabrak akun orang lain ini bagaimana sih tolong dong di perbaiki bug nya,negative
montod kikir,negative
tolong tambahkan fitur jeda dwonload,negative
bang game kau bagus bangtapi tolong lah yujong ganti harga saja bangb pun masih naga bonar bangb jadi lelucon doang,negative
ok bagus permainanya,neutral
jangan main game ini saya di season mentok legend tidak naik tidak turun id kaum kusam,negative
tolong saat menonton temanorang yang sedang bermain bisa di buat agar mengirim pesan jadinya bisa menonton sambil berbicara melalui pesan kepada pemain yang di tonton dan saat menonton orang juga tolong di buat bisa melihat apa yang di beli pemain yang di tonton edit tolong dibuat agar bisa kembali bermain bersama meskipun beda rank lewat tautan wa soalnya teman saya akun nya hilang mau main bareng jadi tidak bisa,negative
makin seperti sampah sekarang apalagi hero legend nya sudah begitu susah pula hero legend be kalau bintang seperti sampah sekali najis sekali tidak seperti mc orisinal yang dulu,negative
sangat cocok untuk mengisi waktu luang jempol,negative
game cacat stok hero ghoib,neutral
moonton buat gems yang benar dong saya habis naik legend lagi epik saya cape monton dikira saya tidak cape naikin reng orang dapat musuh di legend bot sedangkan saya ml kalah mcgg kalah alah,negative
gm tidak jelas,negative
game sampah tidak layak,negative
sudah dari awal suka main magic chest sampai sekarang suka main,negative
aplikasi ini antuk sayah main lebih jago mantap lah terimakasi,neutral
game asik kalau di toilet enjoy seru mekanik nya juga seru,neutral
sudah ok semuanya hero sinergi semaunya sudah on point cuman saja yang harus di tambah yaitu waktu sebelum memulai pertandinganwar minimal lebih karena di posisi itu kita harus ngerollsusun strateginyesuain equipment sama sinergijadi tolong waktunya di tambahkan soalnya selalu merasa habis ngeroll malah langsung war padahal belum siap semuanya,negative
menurut ku game ini sudah bagus dan tidak ada bag nya tapi game ini tidak ramah ponsel rm dan game ini heronya termasuk sedikit kalau rekomendasiku game ini tidak perlu menambah kan grafiknya terimakasih,negative
sering apdet,positive
tidak rekomendasi hese rek naik ge ciga nu temenang weh rek legend ge,neutral
game ngefrezz,positive
sodara kembarnya moonton game tidak ada hiburannya,negative
jika tak pernah top up akan kesulitan main ini game tak bisa level tinggi tidak pernah dapat hero bagusequipmentkartu yang tak sesuai beda sekali akun yang dulu sering top up,negative
lumayan lah kasih bintang,negative
sistem banned nya sangat tidak adil,negative
cuma main game ini doang yang lag parah yang lain lancar saja,negative
uninstal game membosankangogo card monoton cristal sinergi manipulasi,negative
gamenya seru sih tapi kok bug begitu ya tapi sekarang menggunakan kartu biasanya tidak bisa tapi kok gamenya lag aneh kata koneksi terputus padahal enggak,negative
kasih saya magic cristal emberlord,negative
game rusak sisim nya enggak ngotak,neutral
game sakit ayo kita uninstal,positive
terimakasih sudah nemenin season sih ponsel sudah tidak support setelah ml yang pensi di terus senang bisa main mcgg karena di pisahkan dan sekarang cuma kuat season doang terimakasih sudah membuat saya senang walau hanya sementara tunggu saya kembali dengan device yang telah di update,negative
game nya kikir kasih kemenangan malah dikasi musuh yang jago jago tidak work itu saya tidak sarankan main game ini bantu hujatin,negative
bagus karena di pisah sama ml ml tidak terlalu lag bagi ponsel jadul,negative
kagak jelas nih tdi saya ranked ml biasa saja saat main mcgg lag parah,negative
game kagak jelas,negative
game mengesalkan setiap mau naik pasti di kasih yang jelek jelek haya busa menghilangkan tuh an,negative
monton dark sistem nya hilangkan,negative
hapus saja commander miya commander kok ikut menyerang,negative
setiap pergantian akun kurang menyenagkan,negative
koneksi tidak stabil,negative
ini bug apa bagaimana jadi bahasa cina tidak bisa di ganti,negative
apasih nih game bukannya naik malah turun mau hero ini tidak di kasih memang tidak usah berharap nanti baru du kasih hero yang ku butuhin malah tidak keluar memang ya game beruntung hokian,negative
mon kenapa login lewat fb tidak bisa tolong dong perbaiki,negative
match tidak sesuai rank,neutral
seru tapi agak kurang karana glek terys,negative
tolong segera adakan logout di semua perangkat karena ada orang asing yang masuk ke akun mobile legend saya dengan menggunakan akun magic chess gogo saya sangat amat memohon untuk keamanan akun magic chess gogo karena ini bersangkutan dengan akun mobile legend saya kalau sudah di perketat baru saya kasih bintang,negative
beri update lagi dong sinergi nya ditambahkan hero nya,negative
game anehsistem penerimaan go go cardnya jelek enggak jelas,negative
jelekk,neutral
game tolol giliran sinergi yang di inginkan malah tidak keluar gblok game sampah sudah benar gameplay seperti yang lama malah dirubah mending uninstall saja deh begini,negative
seru main nya semoga kedepan nya lebih bagus lagi,negative
game tolloll,positive
jangan pernah percaya game seperti ini fair palsu random stats rate win nya,negative
lagi main lag dahlah mending satuin saja seperti dulu sama ml kalau masih lag and bug begitu,negative
seru sih tapi mesti naik spekk handpone nya,negative
hama di kasih lawan yang susah susah pekek wanwan pula hama hama,negative
main terus sampai lupa waktu,negative
game stres gajelasbukannya menghilangkan stres malah jadi stres,negative
benci sekali saya sama go go card emas musuh dapat nya bagus bagus sedang kan saya dapat nya ampas yang seharus nya saya bisa menang malah rungkat gara² go go card emas sampah yang tidak adil,negative
game apaan inisistem terlalu banyak ikut campur,negative
sama saja seperti ml di atur tidak jelas yang harusnya menang malah di membuat kalah kadang tidak adil juga tidak jelas sudah bagus saat main malah dibikin makin kalah lol game kocak lol,negative
keren tapi kalau bisa kasih mode practic buat latihan,negative
mekanisme pengurangan darah yang tidak adil saya memberi perlawanan dan saya kalah seharusnya darah saya berkurang sedikit tetapi darah yang berkurang sebesar ini sangat tidak adil,negative
game tolol iklam tidak guna saya download biar bisa bintang satu ilangin saja game tidak guna,negative
bagus sekali lu kudu istal permainan enan ini,negative
game membuat kesel buang waktu,neutral
lag server,neutral
lebih seru waktu mejic ches yang belum di update,negative
jelek tidak enak,negative
boros sekali pemakaiyan nya tolong levih hemat pekaiyan,negative
buat mendapatkan gold nya lama sekali sama harus beli commander banyak buat bintang ini commander hadiah nya juga tidak seberapa kasih kartu kali gold seperti,negative
game magic chess tidak sadar diri naik daun cuman gara² mpl,negative
kecewa sama updatenya uninstall makin ruwet sinergi dan skinnya,positive
game haram pilih kasih tidak pernah dikasih beruntung sekali pun,negative
sama game buatan lu yang lain ton kacau kacau,negative
sama saja seperti ml yang namanya moonton game dengan sistem matchmaking terburuk,negative
game kicik,neutral
padahal sinyal bagus kok lag sampai kalah terus coba main ml lah kok lancar mc enggak game anehhhh benerin dulu itu bug tidak jls,negative
kali lebih baik dari pada mlbb,negative
aplikasi tidak jelas sering sekali lag padahal koneksi bagus bagus saja,negative
jelekk tidak sesuaii equipment,negative
mantaf jaya,positive
gue suka sekali sama go go,negative
kadang suka tiba tiba merah enggak jelas main mobile legends bagus mc gogo lag apaandah,negative
tidak bisa login padahal koneksi normal,negative
jelek bgtttttt,negative
baiklah begini saya tlh mengamati dengan baik untuk patch game mcgg ini dimana terdapat pengaturan sistem yang mengalami hal janggal bukti jadi di patch terdapat hal yang tidak wajar dimana untuk commander lylia itu sebenarnya sudah jarang yang main nah saya bermain lylia itu stlh saya bermain miya dengan synergy doomswon dan dawnbringer dimana saya main lylia dengan harapan bisa dapat kartu ungu hero kembar tapi seketika ada player lylia lain dan kebetulan dapat kartu yang sama dan itu gila,negative
lebih seru megic chess yang langsung dari mobile legendsnya,negative
sangat rekomen sekali game ini sambil dagang menunggu pembeli iseng main game magic ches gogo mantap pokoknya saya kasih bintang pollllll,negative
bukan game strategi tapi hokian wkwk saat rank tinggi roll kartu ampas semua,negative
kok jadi di pisah jelek ah,negative
sudah cukup bagus tapi mohon perbaiki bug apabila menyimpan replay gameplay sendiri malah hilang sendiriterkadang ngefresh tokony hoki² an saja padahal persenan keluar gold bintang herony tersebut sudah paling besar tapi tetap saja ngefresh kali tetap gadapat² padahal stock herony masih ada ini kejadiannya sudah berulang ulang saya dapati,negative
laporan dibatasi hero dan damage tidak masuk akal comender kagura hero zhack popol kupa vexana dan sun bintang semua dan masih ada yang lain hayabusa ling bintang kalah sama wanwan bintang saat dilaporin malah dibatasin hadeh,negative
game rusak rolingan busuk sistem ban lu benerin lah montoon masa komander banding di ban yang satu aneh sekali heran,negative
mohon untuk para pendiri saya ingin kembali ke mc yang dulu karena yang dulu lebih seru dan menantang dari pada sekarang,negative
game deh bagus tapi entah kenapa kok di ponsel realme narzo a prime gampang panas bahkan lebih panas dari pada main ml bukan karena internal dulu main ml masih ada mcgg tetap normal ini ml deh saya hapus tetap saja panas seperti main game berat,negative
hai moonton tolong kasih mode offline dong saya tidak suka kolok tidak ada mode offline nya tolong di kasih ya saya kasih bintang dulu ya kolok di kasih mode offline nati ku kasih bintang tolong di kasih moonton,negative
susah benget cari golden staf,negative
game sangat buruk sangat² buruk,negative
game ampas muak sekali sama sistem permainan nya persentase hero yang di butuhkan sesuai sinergi susah dapat nya parah sekali membuat frustasi game busuk sama saja seperti mlbb lama saya uninstall,negative
sistem ban tolong diubah menjadi commander yang terbanyak yang di ban yang ke pilih jangan seperti random begitu,negative
game tidak balancenya sama sekali ada yang op ada yang ampas apalah game playnya jadi monoton,negative
saat saya login tidak bisa masuk terus saja nyangkut di loadingscreen,negative
main game itu untuk hiburan ini malah menambah stres menang nya kali lose streaknnya bisa kali auto uninstall,negative
trash i added more star hopefully this game will improve after trying tapi redownload and play again hmmmh this is not too trash itu would be better if the download size ini the game could be reduced ini size many new players with entry level phones are disappointed with the size of this game hopefully the new season at the end of june this game can improve both ini terms of size and game play,positive
ʟᴜᴍᴀʏᴀɴ ᴀsɪᴋ ᴛᴀᴘɪ ᴀᴅᴀ ʙᴇʙᴇʀᴀᴘᴀ ᴍᴀsᴀʟᴀʜ ᴅɪ ʀᴀɴᴋ ᴍᴀsᴛᴇʀ ᴀᴅᴀ ʙᴇʙᴇʀᴀᴘᴀ ᴘᴇᴍᴀɪɴ ʏᴀɴɢ ᴍᴇɴɢɢᴜɴᴀᴋᴀɴ ᴄʜɪᴛ ᴊᴀᴅɪ ᴄᴜᴋᴜᴘ sᴜsᴀʜ ᴋᴀᴛᴀ sᴀʏᴀ ᴀᴘᴀʟᴀɢɪ ᴅɪ ʀᴀɴᴋ ɢᴍ ʟᴇʙɪʜ ʙᴀɴʏᴀᴋ ᴄʜɪᴛᴇʀ ᴋʏᴋ ᴍᴇʟᴇʙɪʜɪ ᴋᴀᴘᴀsɪᴛᴀs sᴇᴘᴇʀᴛɪ ᴋᴀᴘᴀsɪᴛᴀs ʜᴇʀᴏ ᴅᴀᴘᴀᴛ ᴅɪ ᴛᴀᴍʙᴀʜ ᴅᴀʟᴀᴍ ᴄʜᴇs ᴀᴛᴀᴜ ᴜᴘɢʀᴀᴅᴇ ᴛᴀᴘɪ ɪɴɪ ᴍᴇʟᴇʙɪʜɪ ɴʏᴀ sᴇᴋɪᴛᴀʀ ʜᴇʀᴏ ʏᴀɴɢ ᴍᴜsᴜʜ ᴘᴀᴋᴇ ɪɴɪ sᴀʏᴀɴɢ ʏᴀɴɢ ᴀʟᴀᴍɪ ɴʏᴀ sᴇɴᴅɪʀɪ ʜᴀᴛɪ ʜᴀᴛɪ ᴀᴊᴀ,neutral
tolong dong mengadakan mode nostalgia nyhyang duluklo yang sekarang kurang asik,negative
mantap game ini seperti mengatur strategi,positive
tlong lah diperbaiki masalah hero yang dicarilv sudah tapi hero yang di cari tidak keluarterjadi kalau sudah kali win saja sudah mulai menampak hero nya sudah susah di cari ini memang sengaja dari sistem atau apa ini mcgogo semakin kesini kok tambah ngawur saja kalau tidak bisa sesuaikan sistem nyahapus saja magic chess dari playstore,negative
