clean_for_labeling,lexicon,mdhugol,crypter,ardiiiiy,agufsamudra,w11wo,ayameRushia,hanifnoerr
wooohhh ganti saja nama aplikasi nya jadi dawnbringer go go go mengasih sinergi yang ngotak dikit dongmasa sekali samber petir mati sinergi beginian yang membuat malas mainmasih mending lawan kangkung lah ini dawnbringer sudah keras sakit lagi tidak sekalian nanti adakann sinergi santet biar sudah hero nya langsung mati sama pemainnya sekalian ini kalau enggak di benerin sih benar benar tidak mendukung keluhan pemain bisa saja saya laporin nih aplikasi ke pihak manajemen play store,negative,positive,negative,negative,negative,negative,negative,negative
kecepetan anjing saya belum beli hero sudah mulai match kalau bisa lamain lah,negative,positive,negative,negative,negative,negative,negative,negative
sodap and keren sedikit tambahan hapus comander layla sama kagura susah benar lawan nya sama lagi yuki,negative,positive,negative,negative,negative,negative,positive,negative
keren bos ku paling suka jurus santet,neutral,negative,positive,positive,neutral,positive,positive,positive
i really like this game but why not memakai a feature for vs competition and for clan or moonton squad so that the magic chess gogo community can be more global thats just my suggestion sorry if there are any wrong words or offended thank you,neutral,neutral,neutral,neutral,neutral,positive,positive,neutral
game scam ajg kau moonton,positive,positive,negative,negative,negative,negative,neutral,negative
apalah ngadain mode nostalgia tapi keriset rank nya percuma ngadain mode itu lagi klp keriset sudah pada malas main mode itu,negative,positive,negative,negative,negative,negative,negative,negative
tolong lah moonton membuat magic chessnya seperti dulu lagi tidak usah di pisah dari game mobile legends pliss,negative,negative,neutral,negative,negative,neutral,neutral,positive
koneksi tiba lag saat bermain game ini,positive,positive,negative,negative,negative,negative,negative,negative
game nya bagus makin lama makin sempurna drafpik nya seimbang,neutral,negative,positive,positive,neutral,positive,positive,positive
game bangsad muncul terus di iklan bangsad bab,negative,positive,negative,negative,negative,negative,negative,negative
game kontlllll,positive,negative,negative,negative,negative,negative,neutral,negative
banyak bag sampai lag tapi bagus padahal tidak seberat ml nya tapi membuat leg ponsel,negative,positive,positive,negative,negative,positive,negative,negative
semakin rumit,neutral,positive,negative,negative,negative,negative,negative,negative
definisi terburuk dari yang terburuk,negative,positive,negative,negative,negative,negative,neutral,negative
susah sekali dapat hero yang di harapkan lawan dengan mudah dapat hero sampai bintang,negative,positive,negative,negative,negative,negative,negative,negative
game php,neutral,positive,negative,negative,negative,positive,positive,negative
makin tidak jelas wkwk rusak moskov di nerf habis an terus an itu harga golt tertinggi loh hero golt semua damag sakit sekarang malah seperti harga golt damagnya wkwk ngawur hapus saja mc enggak kalau begitu mah dari playstore,negative,positive,negative,negative,negative,negative,negative,negative
game gampang untuk yang punya luck tinggi,neutral,negative,positive,neutral,neutral,positive,neutral,positive
erorr mulu anjir,negative,positive,negative,negative,negative,negative,negative,negative
game beruntung enggak jelas masa saya mencari hero doang kagak nemu nemu buat ngaktifin skill commander moskov aneh nih game,negative,positive,negative,negative,negative,negative,negative,negative
is the beast,neutral,negative,neutral,negative,neutral,positive,neutral,positive
woii bodatgmna ceritanya ini baru mulai main musuh deh dapat bintang baru ini lihat game lawakgmna tidak langsung hancur baru mulai bentuk deh kena hajarditambah dapat karakter yang sama susah kali skrnglawan deh berbintang semuadh game meniru malah gagal pula,neutral,positive,negative,negative,negative,negative,negative,negative
gampang sekali ini game kasih musuh yang keras dong monton wkwk,negative,positive,negative,negative,negative,negative,negative,negative
bagus sekali ini game yang sangat seru dan menarik setiap hari,negative,negative,positive,positive,neutral,positive,positive,positive
game cacad saya sudah bantai bantai malah di paksa relog kali terus match nya hilang kecewa sekali saya andai bisa kirim ss saya mengirimi semua buktinya,negative,positive,negative,negative,negative,negative,negative,negative
agak ngeri lagi main tiba tiba lag dan ada peringatan akun anda sedang login diperangkat lain waktu ku cek semua akun yang tertaut enggak ada sama sekali yang login dan sayangnya di mcgg enggak ada fitur cek perangkat apa saja yang baru login di akun ku,negative,positive,negative,negative,negative,negative,negative,negative
developer kikir lawan musuh kali beruntun dengan musuh yang sama pelit mengasih hero kikir kikir,negative,positive,negative,negative,negative,negative,positive,negative
dark sistem tuh di ilangin tusun kali tidak habis fikri,negative,positive,negative,negative,negative,negative,negative,negative
parah yang buat game yang lebih parah yang atur game nya wkwkwk,negative,positive,negative,negative,negative,negative,negative,negative
game rusak sama seperti ml,neutral,positive,negative,negative,negative,negative,negative,negative
game aneh sial sulit dapat heronya sedangkan musuh mudah dapat kan heronya jangan dowload game ini nomor recommend sekali main nya,negative,positive,negative,negative,negative,negative,negative,negative
tidak seru kalau tidak satu app sama moba,negative,positive,negative,negative,negative,negative,negative,negative
tolong dong sinerginya di sesuai ini semua biar rata damage nya seperti mage ini damagenya kurang sekali padahal dulu itu setara sama sinergi lainnya tiba² patch sekarang malah turun drastis seperti tidak guna,negative,positive,negative,negative,negative,negative,negative,negative
tidak usah didownload game keluaran montoonga ada yang bagus game keluaraan montoonyang ada kalah teruskasi ulasan buruk biar dihapus dari play storebagus lu main honor of king tidak ada memakai editan sistem seperti game keluaran montoonkita merepot player buruk langsung dikenain sanksi di honor of kingga seperti game montoonga ada respon,negative,positive,negative,negative,negative,negative,negative,negative
tidak bisa login suka lag lag tolong segera di perbaiki padahal sinyal bagus tapi tidak bisa login sudah setengah jam nunggu tapi tetap tidak bisa tolong perbaiki game nya menurut saya game nya sudah bagus saya suka tapi kenapa lag sekali saya sangat kecewa mudah mudahan game nya segera di perbaiki,negative,positive,negative,negative,negative,negative,negative,negative
game scam game tidak masuk akal game tidak sehat,neutral,positive,negative,negative,negative,negative,negative,negative
dipermainkan sama sistem gamenya jadi membosankan semoga lekas sembuh,negative,positive,negative,negative,negative,negative,negative,negative
asik cuy tapi lama gamenya sekitar menitan kalau peringkat seru,negative,negative,positive,neutral,negative,positive,positive,positive
moonton thank you akhirnya magic chess lama di mengadakan lagi elementalist come back,negative,neutral,neutral,positive,neutral,positive,neutral,neutral
baru masuk rank legendsusahnya meminta ampun buat nge pushtapi itu yang membuat seru jadi ada tantangan lebih,negative,negative,positive,positive,negative,positive,positive,positive
kenapa harus di pisahin aplikasi magic chess dan aplikasi mobile legend malah makin ribet sekarang kalau mau main magic chess jadi aplikasi tolong lah satukan lagi aplikasi nya magic chess ada di aplikasi mobile legend jangan di pisahpisah jadi aplikasi semenjak sistem season semakin hari semakin buruk dalam warna hero nya tidak seperti dimensi burik pokoknya bagus sekarang semakin burik dari hero nya juga,negative,positive,negative,negative,negative,negative,negative,negative
game tolol ling bintang kalah sama badang bintang tidak masuk akalsampah,negative,positive,negative,negative,negative,negative,negative,negative
ini kenapa ya sekarang malah sering ngelagdan terlalu sering muncul menghubungkan kembali padahal main mobile legends koneksi normal saja,negative,positive,negative,negative,negative,negative,negative,negative
moonton coba ling di buff seperti ginisetiap mengeliminasi lawan di dalam ring akan meng copy hero yang berada dalam ring,neutral,positive,neutral,negative,negative,neutral,neutral,neutral
game idiot laneup bagus masa kalah,negative,positive,positive,negative,negative,negative,negative,positive
habis update malah jadi enggak jelas susah sekali buat ngedapetin hero yang sama buat naikin bintang,negative,positive,negative,negative,negative,negative,negative,negative
tidak seperti dulu tidak asik,negative,positive,negative,negative,negative,negative,negative,negative
mohon untuk hero wanwan untuk di nerf skilnyameresahkan gunawan ini,neutral,neutral,neutral,negative,negative,neutral,neutral,neutral
permainannya lag terus burik,neutral,positive,negative,negative,negative,negative,negative,negative
yang ku mau di magic chess go go ada mode full party lima vs lima lalu saya maui ada beberapa hero di mobile legends yang seharusnya ada di magic chess buatkan sistem top global setiap commander,negative,neutral,neutral,negative,neutral,neutral,neutral,neutral
karena mudah saja untuk menaikkan level tertinggi dari hero,negative,negative,neutral,positive,neutral,positive,positive,positive
koneksi bagus saat main lag parah,negative,positive,negative,negative,negative,positive,positive,negative
lag mulupadahal sinyal sudah enggak masih saja lag,negative,positive,negative,negative,negative,negative,negative,negative
ping jelek tidak sebagus ml walaupun jaringannya device stabil,negative,positive,negative,negative,negative,negative,negative,negative
min hadiah bp yang di mcgg setiap kita selesai main masukin ke akun mlbb lagi dong seperti dulu,negative,neutral,neutral,neutral,negative,neutral,neutral,neutral
grafik jelek,negative,positive,negative,negative,negative,negative,negative,negative
min boleh kasih masukan tidak bagaimana kalau di profile game kasih commander favorit seperti mlkayak jumlah pertandingannyan wr nya sama kasih juga title commander min terimakasih,negative,neutral,neutral,neutral,negative,neutral,neutral,negative
