content,clean_for_labeling
"ʟᴜᴍᴀʏᴀɴ ᴀsɪᴋ ᴛᴀᴘɪ ᴀᴅᴀ ʙᴇʙᴇʀᴀᴘᴀ ᴍᴀsᴀʟᴀʜ ᴅɪ ʀᴀɴᴋ ᴍᴀsᴛᴇʀ ᴀᴅᴀ ʙᴇʙᴇʀᴀᴘᴀ ᴘᴇᴍᴀɪɴ ʏᴀɴɢ ᴍᴇɴɢɢᴜɴᴀᴋᴀɴ ᴄʜɪᴛ ᴊᴀᴅɪ ᴄᴜᴋᴜᴘ sᴜsᴀʜ ᴋᴀᴛᴀ sᴀʏᴀ ᴀᴘᴀʟᴀɢɪ ᴅɪ ʀᴀɴᴋ ɢᴍ ʟᴇʙɪʜ ʙᴀɴʏᴀᴋ ᴄʜɪᴛᴇʀ ᴋʏᴋ ᴍᴇʟᴇʙɪʜɪ ᴋᴀᴘᴀsɪᴛᴀs sᴇᴘᴇʀᴛɪ ᴋᴀᴘᴀsɪᴛᴀs ʜᴇʀᴏ ᴅᴀᴘᴀᴛ ᴅɪ ᴛᴀᴍʙᴀʜ ᴅᴀʟᴀᴍ ᴄʜᴇs ᴀᴛᴀᴜ ᴜᴘɢʀᴀᴅᴇ ᴛᴀᴘɪ ɪɴɪ ᴍᴇʟᴇʙɪʜɪ ɴʏᴀ sᴇᴋɪᴛᴀʀ 20 ʜᴇʀᴏ ʏᴀɴɢ ᴍᴜsᴜʜ ᴘᴀᴋᴇ ""ɪɴɪ sᴀʏᴀɴɢ ʏᴀɴɢ ᴀʟᴀᴍɪ ɴʏᴀ sᴇɴᴅɪʀɪ ʜᴀᴛɪ ʜᴀᴛɪ ᴀᴊᴀ """,ʟᴜᴍᴀʏᴀɴ ᴀsɪᴋ ᴛᴀᴘɪ ᴀᴅᴀ ʙᴇʙᴇʀᴀᴘᴀ ᴍᴀsᴀʟᴀʜ ᴅɪ ʀᴀɴᴋ ᴍᴀsᴛᴇʀ ᴀᴅᴀ ʙᴇʙᴇʀᴀᴘᴀ ᴘᴇᴍᴀɪɴ ʏᴀɴɢ ᴍᴇɴɢɢᴜɴᴀᴋᴀɴ ᴄʜɪᴛ ᴊᴀᴅɪ ᴄᴜᴋᴜᴘ sᴜsᴀʜ ᴋᴀᴛᴀ sᴀʏᴀ ᴀᴘᴀʟᴀɢɪ ᴅɪ ʀᴀɴᴋ ɢᴍ ʟᴇʙɪʜ ʙᴀɴʏᴀᴋ ᴄʜɪᴛᴇʀ ᴋʏᴋ ᴍᴇʟᴇʙɪʜɪ ᴋᴀᴘᴀsɪᴛᴀs sᴇᴘᴇʀᴛɪ ᴋᴀᴘᴀsɪᴛᴀs ʜᴇʀᴏ ᴅᴀᴘᴀᴛ ᴅɪ ᴛᴀᴍʙᴀʜ ᴅᴀʟᴀᴍ ᴄʜᴇs ᴀᴛᴀᴜ ᴜᴘɢʀᴀᴅᴇ ᴛᴀᴘɪ ɪɴɪ ᴍᴇʟᴇʙɪʜɪ ɴʏᴀ sᴇᴋɪᴛᴀʀ ʜᴇʀᴏ ʏᴀɴɢ ᴍᴜsᴜʜ ᴘᴀᴋᴇ ɪɴɪ sᴀʏᴀɴɢ ʏᴀɴɢ ᴀʟᴀᴍɪ ɴʏᴀ sᴇɴᴅɪʀɪ ʜᴀᴛɪ ʜᴀᴛɪ ᴀᴊᴀ
"tolong dong Adain mode nostalgia nyh,yang 2023 dulu,KLO yang sekarang kurang asik",tolong dong mengadakan mode nostalgia nyhyang duluklo yang sekarang kurang asik
mantap game ini seperti mengatur strategi,mantap game ini seperti mengatur strategi
"tlong lah diperbaiki masalah Hero yg dicari....lv udh 8-9 ..TPI Hero yg di cari gak keluar2...terjadi kalo udh 2 x win aja ..udh mulai nampak ,,Hero nya sudah susah di cari ...ini emank sengaja dari sistem atau apa ini??? mcgogo semakin ksni kok tambah ngawur aja... kalo gak bisa sesuaikan sistem nya,,hapus aja magic CEES dari playstore",tlong lah diperbaiki masalah hero yang dicarilv sudah tapi hero yang di cari tidak keluarterjadi kalau sudah kali win saja sudah mulai menampak hero nya sudah susah di cari ini memang sengaja dari sistem atau apa ini mcgogo semakin kesini kok tambah ngawur saja kalau tidak bisa sesuaikan sistem nyahapus saja magic chess dari playstore
"Sekeras apapun lu mikir plan sinergi heronya, kalau role hero sudah di atur system buat kalah cuma bikin sakit kepala doank. Sinergi nya gak ada yang nabrak sama player lain, uda nahan meta early sampai mid game, tau nya pas end game gak dikasih keluar juga heronya, kan kocag. Di end game disuruh ubah sinergi, emang gak mikir pake otak nih dev nya. Hari hari Kenak prank, ngepush mythic 100 susah payah, ancurnya perkara hero sinergi di tahan system role! nice banget dev!",sekeras apapun lu mikir plan sinergi heronya kalau role hero sudah di atur sistem buat kalah cuma membuat sakit kepala doang sinergi nya tidak ada yang nabrak sama player lain sudah menahan meta early sampai mid game tahu nya saat end game tidak dikasih keluar juga heronya kan kocag di end game disuruh ubah sinergi memang tidak mikir menggunakan otak nih dev nya hari hari kenak prank ngepush mythic susah payah ancurnya perkara hero sinergi di tahan sistem role nice sekali dev
gamenya aneh hoki hokian,gamenya aneh beruntung hokian
game gblk,game gblk
kenapa mcgg di rifam lagi kan gaada hero kadita Gatotkaca x box belerik kalea dan karrie,kenapa mcgg di rifam lagi kan enggak ada hero kadita gatotkaca kali box belerik kalea dan karrie
Game jelek gak seimbang hero ataupun comender nya gak jelas,game jelek tidak seimbang hero ataupun comender nya tidak jelas
Saya Kecewa Sama Moonton Memisahkan Kedua Game Ini Harus Dengan Mendownload Aplikasinya Apalagi Harus Dengan Akun Baru Sementara Akun Lama Saya Punya Karakter Magic Chess Tidak Bisa Di Gunakan,saya kecewa sama moonton memisahkan kedua game ini harus dengan mendownload aplikasinya apalagi harus dengan akun baru sementara akun lama saya punya karakter magic chess tidak bisa di gunakan
game nya seru tapi gk ada mode practice,game nya seru tapi tidak ada mode practice
"tolong untuk synerginya lebih balance lagi, kalau perlu hapus moskov aja sekalian, biar kgk hari"" wm mm mulu.",tolong untuk synerginya lebih balance lagi kalau perlu hapus moskov saja sekalian biar kgk hari wm mm mulu
"menang sekali kalah bisa 3 sampai 5 kali,hero yang diperlukan sesuai sinergi susah banget di cari padahal masih banyak,mana tahap ranknya banyak banget,lose nya bisa berkali kali tapi sekedar buat menangnya aja paling banyak 2 kali",menang sekali kalah bisa sampai kalihero yang diperlukan sesuai sinergi susah sekali di cari padahal masih banyakmana tahap ranknya banyak bangetlose nya bisa berkali kali tapi sekedar buat menangnya saja paling banyak kali
"download data kaga bisa di pause, rongod kuota gua",download data kagak bisa di pause rongod kuota saya
mau lm mau mcgg semua tergantung berapa banyak kita topup itu yg pasti menang . mau pake combo ini itu tetep susah menang,mau lm mau mcgg semua tergantung berapa banyak kita topup itu yang pasti menang mau menggunakan combo ini itu tetap susah menang
Balikin Megic chess mlbb ✊,balikin megic chess mlbb
kasih aku hoki terus pliss🤩,kasih saya beruntung terus pliss
semua sudah bagus tp aku mau kasih saran tolong dong dapatin Gold nya jngn susah susah amat gmn mau meningkatkan Commander klo gtu.,semua sudah bagus tapi saya mau kasih saran tolong dong dapatin gold nya jangan susah susah amat bagaimana mau meningkatkan commander kalau begitu
"tolong dong Heri lagendary yg dulu dikembalikan piliss!! udah dikasih bintang lima nih. game nya keren, tapi tolong 🙏 Hero Legendary yg dulu dikembalikan in",tolong dong heri lagendary yang dulu dikembalikan piliss sudah dikasih bintang lima nih game nya keren tapi tolong hero legendary yang dulu dikembalikan ini
gemenya ngebosenin bikin ngantuk. balikin vonetis,gemenya ngebosenin membuat ngantuk balikin vonetis
Satu match tidak ada yang pakai emberlord tapi emberlord badang bahkan respawn di babak II-3. diban atau gimana?,satu match tidak ada yang pakai emberlord tapi emberlord badang bahkan respawn di babak ii diban atau bagaimana
monton ayo duel ane pake sumoner,monton ayo duel ane menggunakan sumoner
gema burik ah gw kalah mulu dah cape cape b3 malah kalah dasar moonton kalo buat gema yang gampang lah,gema burik ah saya kalah mulu deh cape cape bintang malah kalah dasar moonton kalau buat gema yang gampang lah
kembaikan mc lama,kembaikan mc lama
ini game jelek kali karena untuk mendapatkan Hero yg dibutuhkan sangat sulit padahal drop rate nya sudah tinggi dan tetap tidak bisa mendapatkan Hero² tersebut,ini game jelek kali karena untuk mendapatkan hero yang dibutuhkan sangat sulit padahal drop rate nya sudah tinggi dan tetap tidak bisa mendapatkan hero² tersebut
di pisah bukan tambah enteng malah tambah berat,di pisah bukan tambah enteng malah tambah berat
ga asik yg harga koin 5 lembek banget ga kaya dulu mending yg dulu harga 5 pada kuat kuat,tidak asik yang harga koin lembek sekali tidak seperti dulu mending yang dulu harga pada kuat kuat
size gamenya terlalu besar untuk game se simpel itu,size gamenya terlalu besar untuk game se simpel itu
game ini sangat cocok untuk sambil makan dan sambil menonton TV,game ini sangat cocok untuk sambil makan dan sambil menonton tv
"RUSAK ni game, udah bener jadi 1 sama ml malah di pisah kocak.",rusak nih game sudah benar jadi sama ml malah di pisah kocak
gem jelek udah dapat frangko bintang 3 masih aja kalah emang gemnya monton GK ada yg bener,game jelek sudah dapat frangko bintang masih saja kalah memang gemnya monton tidak ada yang benar
dari dlu suka banget main magic chess.. setelah ada magic chess go go saya langsung download,dari dulu suka sekali main magic chess setelah ada magic chess go go saya langsung download
aku bintang satu karena curang misal nya aku di suruh 3 pemain nah lawan nya juga harus 3 pemain dong tapi malah lawan nya 5 pemain. nya curang pasti nya kalah bikin emosi aja kata aku ma Jagan di download nanti yesel,saya bintang satu karena curang misal nya saya di suruh pemain nah lawan nya juga harus pemain dong tapi malah lawan nya pemain nya curang pasti nya kalah membuat emosi saja kata saya sama jagan di download nanti yesel
kurang mode praktissss,kurang mode praktissss
Gamenya sih bagus tapi tolong segera diperbaiki bugnya pas ngeleg dikit itemnya gak dapet dapet,gamenya sih bagus tapi tolong segera diperbaiki bugnya saat lag dikit itemnya tidak dapat dapat
tidak bisa upgrade star Hero bug,tidak bisa upgrade star hero bug
muantapppp,muantapppp
"bagus, gaada yang aneh sejauh ini",bagus enggak ada yang aneh sejauh ini
"servernya sama idiotnya kaya mlbb, yg bikin kesel nyari 1 hero ampe kaya jarum emas di tumpukan jerami, game najis, gw unistal aja lah, bikin emosi mulu",servernya sama idiotnya seperti mlbb yang membuat kesel mencari hero sampai seperti jarum emas di tumpukan jerami game najis saya unistal saja lah membuat emosi mulu
bagus sekali sampe susah berkata kata,bagus sekali sampai susah berkata kata
"TOLONG BAGUSIN SISTEM ROLL HERO, SAYA YANG MAIN HERO ITU SENDIRI TETAPI KENAPA SUSAH UNTUK MENDAPATKANNYA KETIKA TIDKA ADA YANG MEMAINKANNYA?!!!!!",tolong bagusin sistem roll hero saya yang main hero itu sendiri tetapi kenapa susah untuk mendapatkannya ketika tidka ada yang memainkannya
seru dan bikin penasaran,seru dan membuat penasaran
terkadang game ini menjadi sangat menyebalkan dikarenakan untuk mencari 1 hero 3g di level 7 saja susahnya minta ampun,terkadang game ini menjadi sangat menyebalkan dikarenakan untuk mencari hero enggak di level saja susahnya meminta ampun
hapus komender wanwan miya,hapus komender wanwan miya
saran agar download datanya bisa di pause kaya di ml min,saran agar download datanya bisa di pause seperti di ml min
niat nerf si comander wanwan ga si damage nya ga ngotak mending ketemu commander Miya daripada wanwan sumpah,niat nerf sih comander wanwan tidak sih damage nya tidak ngotak mending ketemu commander miya daripada wanwan sumpah
"sangat tidak adil, sinergi udah 6/6 pun tetep kalah ama sinergi yg belum jadi, sangat bedul sih",sangat tidak adil sinergi sudah pun tetap kalah sama sinergi yang belum jadi sangat bedul sih
"kayak di ml , gw di bikin lose streak hero nya ampas kek ml dapet tim ampas gw dapet hero tapi sinergi nya ga cocok kalau di gabung gimana mau menang nya masuk 4 besar",seperti di ml saya di membuat lose streak hero nya ampas seperti ml dapat tim ampas saya dapat hero tapi sinergi nya tidak cocok kalau di gabung bagaimana mau menang nya masuk besar
bosan klh trs,bosan kalah terus
pemain lama malah di bikin susah 🤬,pemain lama malah di membuat susah
"Main ML koneksi lancar .. giliran main MC gogo pasti putus2 terus koneksi nya.... kirain jaringannya yg masalah...ga taunya game nya yg bermasalah.... saran saya mending ini game di hapus dari play store , karena selalu bermasalah di koneksi nya...game blm siap dimainkan knp bisa muncul di play store",main ml koneksi lancar giliran main mc gogo pasti putus terus koneksi nya mengira jaringannya yang masalahga taunya game nya yang bermasalah saran saya mending ini game di hapus dari play store karena selalu bermasalah di koneksi nyagame belum siap dimainkan kenapa bisa muncul di play store
server sangat sangat ngelag,server sangat sangat lag
bagus sakali,bagus sakali
intinya game nya payah ga usah donlod mending cman nagndelin hoki doang dan hoki lu udah di atur ama monton susah banget sinergi 10 gwa jamin mending urungkan niat lu buat instal game gj ini,intinya game nya payah tidak usah donlod mending cman nagndelin beruntung doang dan beruntung lu sudah di atur sama monton susah sekali sinergi gwa jamin mending urungkan niat lu buat install game gj ini
jgan sering sesen donk,jangan sering sesen dong
ini kenapa tidak bisa masuk ke dalam game nya.,ini kenapa tidak bisa masuk ke dalam game nya
"gak jelas game nya, kemenangan di dapat karna faktor keberuntungan bukan karena kita pandai.. uninstal",tidak jelas game nya kemenangan di dapat karena faktor keberuntungan bukan karena kita pandai uninstal
AKU R TAU MENANG LOL! GELOT KITA DEVELOPER MCGG,saya r tahu menang lol gelot kita developer mcgg
"Terimakasih Moonton, aku kena mental grgr main game ini. Ls terus 🙄💔",terimakasih moonton saya kena mental grgr main game ini ls terus
"game lawak, internet wifi lancar tp suka dc. hapus aja game nya, bikin naik darah doang.",game lawak internet wifi lancar tapi suka dc hapus saja game nya membuat naik darah doang
mantapppppppppppppp,mantapppppppppppppp
monton anjg,monton anjg
game yang seru gacor,game yang seru gacor
ezzz,ezzz
"lag parah,enak kembali gabung lagi saja,aman jaya tanpa lag, uninstall saja bro",lag parahenak kembali gabung lagi sajaaman jaya tanpa lag uninstall saja bro
tolong fitur vote di rank mystic di betulkan,tolong fitur vote di rank mystic di betulkan
"kacau parah, gak kyk dulu, sinergi udah jadi kalah sama yg belom jadi, kacau MC",kacau parah tidak seperti dulu sinergi sudah jadi kalah sama yang belum jadi kacau mc
tela** kenapa berubah bahasanya jadi bahasa China labaga perbaiki. sengaja se kasi 5 bintang biar jadi teratas. perbaiki cepat.,tela kenapa berubah bahasanya jadi bahasa china labaga perbaiki sengaja se kasih bintang biar jadi teratas perbaiki cepat
"game longor pilih kasih, kayak game ml anj, 11 12 co, Tay tytyd",game longor pilih kasih seperti game ml anjing cowok tahi tytyd
sangat seru dan lucu lucu karakter nya,sangat seru dan lucu lucu karakter nya
"game gj banyak lag, sinyal bagus tetep aja ngelag gw pukulin juga developernya kalo mau bukti foto chat Gmail gw",game gj banyak lag sinyal bagus tetap saja lag saya pukulin juga developernya kalau mau bukti foto chat gmail saya
kesel banget tiap hilang koneksi di suruh keluar login kembali gak di masuk ke mach lagi,kesel sekali tiap hilang koneksi di suruh keluar login kembali tidak di masuk ke mach lagi
mantap bang moonton tapi agak susah gamenyahh😐,mantap bang moonton tapi agak susah gamenyahh
"game gajelas,tolong diperbaiki masalah jaringan",game gajelastolong diperbaiki masalah koneksi
jaringan berat. banget walau kondisi bagus,koneksi berat sekali walau kondisi bagus
ga jelas main mc kalah mulu ga pernah dikasih heronya,tidak jelas main mc kalah mulu tidak pernah dikasih heronya
"tolong di perbaiki masalah lag dan suka logout tiba"" moontol",tolong di perbaiki masalah lag dan suka logout tiba moontol
Peluang jadi bintang 3 susah. Refresh toko buang2 gold doank. Bagusan old magic chess MLBB,peluang jadi bintang susah refresh toko buang gold doang bagusan old magic chess mlbb
"malah gak bisa dibuka, game cacat game cacat",malah tidak bisa dibuka game cacat game cacat
"Role hero tidak adil, masa musuh sdh bintang gold 1 di fase 2 , sedangkan gue ngk dapat, burukkk",role hero tidak adil masa musuh sudah bintang gold di fase sedangkan gue tidak dapat burukkk
game stres goblok,game stres goblok
mitych trllu berat hero susah jdi lostreak mulu...bikin game yg gmpanglah dpt card juga ampas mulu anjg.dri mc dlu gk ada prubahn rank epic gmpang menang mitych susah skli...,mitych trllu berat hero susah jadi lostreak mulubikin game yang gmpanglah dapat card juga ampas mulu anjgdri mc dulu tidak ada prubahn rank epic gmpang menang mitych susah sekali
